term,match_method,blob_key,blob_url
Aborigen o‘simliklar,exact/base,Aborigen o‘simliklar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Aborigen-o‘simliklar.jpg
Aerozol generatori,exact/base,Aerozol generatori,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Aerozol-generatori.jpg
Aerozol sug‘orish,exact/base,Aerozol sug‘orish,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Aerozol-sug‘orish.jpg
Agrobiologiya,exact/base,Agrobiologiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrobiologiya.jpg
Agrofitlar,exact/base,Agrofitlar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrofitlar.jpg
Agrokimyo,exact/base,Agrokimyo,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrokimyo.jpg
Agrokimyo laboratoriyasi,exact/base,Agrokimyo laboratoriyasi,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrokimyo-laboratoriyasi.jpg
Agrokimyo xizmati,exact/base,Agrokimyo xizmati,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrokimyo-xizmati.jpg
Agrokimyoviy tahlil,exact/base,Agrokimyoviy tahlil,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrokimyoviy-tahlil.jpg
Agrokimyoviy xaritanoma,exact/base,Agrokimyoviy xaritanoma,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrokimyoviy-xaritanoma.jpg
Agroklaster,exact/base,Agroklaster,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agroklaster.jpg
Agrologistika,exact/base,Agrologistika,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrologistika.jpg
Agromelioratsiya,exact/base,Agromelioratsiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agromelioratsiya.jpg
Agrometeorologik omillar,exact/base,Agrometeorologik omillar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrometeorologik-omillar.jpg
Agronomik tahlil,missing,,
Agrotexnologiya,exact/base,Agrotexnologiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrotexnologiya.jpg
Agrotexnika usuli,exact/base,Agrotexnika usuli,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrotexnika-usuli.jpg
Agrotuproq rayonlashtirish,exact/base,Agrotuproq rayonlashtirish,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Agrotuproq-rayonlashtirish.jpg
Ajratilgan muhitda o‘stirish,exact/base,Ajratilgan muhitda o‘stirish,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Ajratilgan-muhitda-o‘stirish.jpg
Akatsiya (Acacia Mill.),exact/base,Akatsiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Akatsiya.jpg
Aktinidiya (Actinidia Lindl.),exact/base,Aktinidiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Aktinidiya.jpg
Allelomorf belgilar,exact/base,Allelomorf belgilar,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Allelomorf-belgilar.jpg
Allogamiya,exact/base,Allogamiya,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Allogamiya.jpg
Almashlab ekish,exact/base,Almashlab ekish,https://store_W6SAmavz4a8tGG7Q.blob.vercel-storage.com/Almashlab-ekish.jpg
